Asset ID,Type,File path,Cue key,Bus,Origin / design,Licence,Variation,Looping
SFX_SAW_01,SFX,assets/audio/sfx/saw/saw_01.wav,saw,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/3,one-shot
SFX_SAW_02,SFX,assets/audio/sfx/saw/saw_02.wav,saw,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/3,one-shot
SFX_SAW_03,SFX,assets/audio/sfx/saw/saw_03.wav,saw,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/3,one-shot
SFX_WOOD_PLACE_01,SFX,assets/audio/sfx/wood_place/wood_place_01.wav,wood_place,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/6,one-shot
SFX_WOOD_PLACE_02,SFX,assets/audio/sfx/wood_place/wood_place_02.wav,wood_place,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/6,one-shot
SFX_WOOD_PLACE_03,SFX,assets/audio/sfx/wood_place/wood_place_03.wav,wood_place,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/6,one-shot
SFX_WOOD_PLACE_04,SFX,assets/audio/sfx/wood_place/wood_place_04.wav,wood_place,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 4/6,one-shot
SFX_WOOD_PLACE_05,SFX,assets/audio/sfx/wood_place/wood_place_05.wav,wood_place,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 5/6,one-shot
SFX_WOOD_PLACE_06,SFX,assets/audio/sfx/wood_place/wood_place_06.wav,wood_place,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 6/6,one-shot
SFX_METAL_FASTENING_01,SFX,assets/audio/sfx/metal_fastening/metal_fastening_01.wav,metal_fastening,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/5,one-shot
SFX_METAL_FASTENING_02,SFX,assets/audio/sfx/metal_fastening/metal_fastening_02.wav,metal_fastening,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/5,one-shot
SFX_METAL_FASTENING_03,SFX,assets/audio/sfx/metal_fastening/metal_fastening_03.wav,metal_fastening,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/5,one-shot
SFX_METAL_FASTENING_04,SFX,assets/audio/sfx/metal_fastening/metal_fastening_04.wav,metal_fastening,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 4/5,one-shot
SFX_METAL_FASTENING_05,SFX,assets/audio/sfx/metal_fastening/metal_fastening_05.wav,metal_fastening,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 5/5,one-shot
SFX_DEBRIS_CLEAR_01,SFX,assets/audio/sfx/debris_clear/debris_clear_01.wav,debris_clear,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/5,one-shot
SFX_DEBRIS_CLEAR_02,SFX,assets/audio/sfx/debris_clear/debris_clear_02.wav,debris_clear,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/5,one-shot
SFX_DEBRIS_CLEAR_03,SFX,assets/audio/sfx/debris_clear/debris_clear_03.wav,debris_clear,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/5,one-shot
